Romence Kelime,Kelime Türü,İngilizce Anlamı,Türkçe Anlamı,Örnek Cümle
oală,isim,pot,tencere,Gătesc supa într-o oală mare.
oară,isim,time,"defa, kez",Sunt pentru prima oară în România.
oare,zarf,I wonder,acaba,Oare vine și Maria cu noi?
oaspete,isim,guest,misafir,Oaspeții noștri au ajuns la timp.
obicei,isim,"custom, habit","adet, alışkanlık",Obiceiurile de nuntă sunt frumoase.
obiect,isim,"object, item, thing","nesne, obje",Pe masă am multe obiecte.
obișnuit(ă),sıfat,"usual, ordinary","sıradan, alışık",Spălatul pe dinți este un lucru obișnuit.
"obligatoriu, obligatorie",sıfat,"compulsory, mandatory","zorunlu, mutlak",Prezența la curs este obligatorie.
obosit(ă),sıfat,tired,yorgun,Tata a venit obosit de la serviciu.
obraz,isim,cheek,yanak,Are un semn pe obraz.
obraznic(ă),sıfat,"cheeky, naughty","yaramaz, afacan",Mihăiță este un copil obraznic.
observa,fiil,"observe, notice",gözlemlemek,Nu am observat semnul de la intrare în mall.
observație,isim,observation,gözlem,Mama i-a făcut multe observații Anei.
obține,fiil,obtain,kazanmak,A obținut Premiul Nobel pentru pace.
ocazie,isim,"occasion, opportunity","vesile, fırsat",Nunta este o ocazie specială.
ocean,isim,ocean,okyanus,A făcut baie în ocean.
ochelari,isim,glasses,gözlük,Veronica poartă ochelari de vedere.
ochi,isim,eye,göz,Mă dor ochii.
ochi,isim,eye,göz,Am mâncat un ou ochi.
octombrie,isim,October,ekim,Octombrie este o lună de toamnă.
ocupa (se),fiil,"occupy, take care of sth.",meşgul olmak,Sportivii noștri au ocupat un loc important în clasament.
ocupat(ă),sıfat,"busy, taken, occupied","meşgul, yoğun",Ea este o persoană ocupată.
odată,zarf,once,bir zamanlar,A fost odată ca niciodată.
odihni (se),fiil,rest,dinlenmek,"Uneori, mă odihnesc la prânz."
odihnit(ă),sıfat,rested,dinlenmiş,După vacanță sunt mai odihnit.
oferi,fiil,offer,"arzetmek, sunmak",Le-am oferit flori fetelor.
oglindă,isim,mirror,ayna,Nu mă uit des în oglindă.
om,isim,"human, man",insan,Drepturile omului sunt protejate prin lege.
omletă,isim,omelette,omlet,Dimineața mâncăm omletă cu brânză.
omorî,fiil,kill,öldürmek,A omorât un țântar.
operație,isim,"operation, surgery",ameliyat,A făcut o operație complicată.
operă,isim,"work, opera","eser, opera",A primit un premiu pentru întreaga operă.
opri (se),fiil,stop,durmak,Șoferul oprește mașina la semafor.
opt,sayı,eight,sekiz,Copilul are 8 ani.
opus(ă),sıfat,opposite,karşıt,Plecăm în direcția opusă.
oral(ă),sıfat,oral(ly),sözlü,Are un examen oral.
orar,isim,timetable,haftalık ders programı,Orarul se află la avizier.
oraș,isim,"town, city",şehir,Locuiește într-un oraș mare.
oră,isim,hour,saat,Orele trec repede când ești ocupat.
orb(ă),sıfat,blind,kör,Am dus la veterinar o pisică oarbă.
ordine,isim,order,düzen,Am făcut ordine în cameră.
ordonat(ă),sıfat,"neat, tidy",düzenli,Am un copil ordonat.
orez,isim,rice,pirinç,Fac sarmale cu orez.
organiza,fiil,organise,düzenlemek,Organizăm o excursie la munte.
oricare,zamir/sıfat,any,herbiri,Oricare poate învăța o limbă străină.
orice,zamir/sıfat,anything,herhangi,Orice este posibil.
oricine,zamir,anyone,"herkes, herhangi bir kimse",Oricine poate greși.
oricât(ă),zamir/sıfat,as much / many,her ne kadar,"Oricâți vei intreba, tot nu vei găsi răspunsul dorit."
oricât,zarf,as much / long,-in kadar,Poți sta oricât vrei.
oricum,zarf,any way,nasılsa,Ajung oricum la petrecere.
original(ă),sıfat,original,"asli, orijinal",Este un tablou original.
oriunde,zarf,anywhere,herhangi bir yer,"Oriunde te uiți, vezi oameni fericiți."
os,isim,bone,kemik,Mă dor oasele.
ospătar,isim,waiter,garson,Ospătarul este amabil.
oțet,isim,vinegar,sirke,La salată punem oțet de mere.
ou,isim,egg,yumurta,Am mâncat un ou fiert.
oxigen,isim,oxygen,oksijen,Bolnavul are nevoie de oxigen.
pace,isim,peace,barış,Luptă pentru pace.
pachet,isim,"pack, packet",paket,Sara a primit un pachet de acasă.
pacient,isim,patient,hasta,Pacientul așteaptă medicul.
pagină,isim,page,sayfa,Cartea are 100 de pagini.
pahar,isim,glass,bardak,Paharul este curat.
palmă,isim,palm,avuç,Are palmele murdare.
palton,isim,overcoat,kaban,Am pus paltonul în cuier.
pantaloni,isim,trousers,pantolon,Am dus pantalonii la curățătorie.
pantof,isim,shoe,ayakkabı,Laura poartă pantofi cu toc.
papuc,isim,slipper,terlik,Papucii de casă sunt comozi.
pară,isim,pear,armut,Perele sunt dulci.
parc,isim,park,park,Facem o plimbare în parc.
parca,fiil,park,park etmek,Parchează mașina lângă bloc.
parcare,isim,parking lot,otopark,Parcarea este plină.
parfum,isim,perfume,pafüm,Parfumul franțuzesc este scump.
parte,isim,"part, share",bölüm,Filmul are două părți.
parter,isim,ground floor,zemin,Apartamentul meu este la parter.
participa,fiil,"take part, attend",katılmak,Studenții participă la festivitatea de absolvire.
pas,isim,step,adım,Am învățat pașii de dans.
pasăre,isim,bird,kuş,Păsările călătoare pleacă toamna.
pastă,isim,paste,"macun, makarna",Am schimbat pasta de dinți.
pastilă,isim,pill,tablet,Pastilele sunt în trusa medicală.
pașaport,isim,passport,pasaport,Pașaportul meu este expirat.
Paști,isim,Easter,Paskalye,La Sfintele Paști vopsim ouă.
pat,isim,bed,yatak,A cumpărat un pat dublu.
pateu,isim,paté,ezme,Mănânc pateu de ficat.
patina,fiil,skate,kaymak,Maria patinează frumos.
patină,isim,skate,paten,Am o pereche de patine noi.
patinoar,isim,skating rink,buz pateni pisti,La patinoar sunt mulți copii.
patru,sayı,four,dört,Am patru pisici mici.
pauză,isim,break,"ara, mola",După curs facem pauză.
pădure,isim,"forest, wood",orman,M-am rătăcit în pădure.
pălărie,isim,hat,şapka,Vara port pălărie de soare.
pământ,isim,"Earth, land, soil","Dünya, toprak",Planeta Pământ este casa noastră.
păr,isim,hair,saç,Ea are părul lung.
părea,fiil,seem,görünmek,El pare obosit.
părere,isim,"opinion, view, impression","görüş, fikir",Avem păreri diferite despre viață.
părinte,isim,parent,"anne baba, veli, ebeveyn",Părinții mei sunt pensionari.
păstra,fiil,keep,korumak,Păstrează fotografiile în album.
pătrat,isim,square,kare,A desenat un pătrat.
pătrunjel,isim,parsley,maydanoz,Pune pătrunjel în salată.
pătură,isim,blanket,battaniye,S-a învelit cu o pătură subțire.
pâine,isim,bread,ekmek,Nu mănâncă pâine albă.
până (la),edat,"up to, until",-a/-e kadar,Până acolo faci 3 ore.
pe (la),edat,on,üzeri,Cartea este pe masă.
peisaj,isim,landscape,"manzara, peyzaj",A pictat un peisaj de toamnă.
penar,isim,pencil case,kalemlik,Penarul este în ghiozdan.
pentru,edat,for,için,Cartea este pentru Maria.
pentru că,bağlaç,because,çünkü,"Pentru că este bolnav, merge la doctor."
pepene,isim,(water)melon,karpuz,Îmi place pepenele verde / galben.
perdea,isim,curtain,perde,La fereastră am o perdea cu flori.
pereche,isim,"pair, couple",çift,A probat o pereche de sandale.
perete,isim,wall,duvar,Pe perete am un tablou.
pericol,isim,danger,tehlike,În junglă sunt multe pericole.
"periculos, periculoasă",sıfat/zarf,dangerous,tehlikeli,Leul este un animal periculos.
perie,isim,brush,fırça,Peria de păr este la oglindă.
perioadă,isim,"period, time",dönem,Vara este perioada vacanțelor.
permanent(ă),sıfat/zarf,permanent,"daimi, daima, sürekli, arasız",Are un serviciu permanent.
permite,fiil,"allow, permit",izin vermek,Nu permitem un astfel de comportament.
pernă,isim,pillow,yastık,Pernele de pe canapea sunt colorate.
persoană,isim,"person, people",kişi,În sală sunt multe persoane.
personaj,isim,"character, protagonist",karakter,Personajul principal este un copil.
pescui,fiil,fish,balık tutmak,Lui Mihai îi place să pescuiască.
peste,edat,"over, above, on (top of)",üzeri,A pus caietul peste carte.
pește,isim,fish,balık,Nu mănâncă pește congelat.
peșteră,isim,cave,mağara,"În peșteră, temeperatura este constantă."
petrece,fiil,"spend, party",geçirmek,Petrece mult timp la serviciu.
petrecere,isim,party,parti,Le-am organizat o petrecere surpriză.
pian,isim,piano,piyano,Cântăm la pian.
piatră,isim,"rock, stone",taş,A adunat multe pietre din râu.
piață,isim,"market, square","pazar, meydan",Vând legume în piață.
picant(ă),sıfat,"spicy, hot",acılı,Vreau un sos picant pentru pizza.
picior,isim,"foot, leg",bacak,Balerina are picioare frumoase.
picta,fiil,paint,boyamak,Copilul pictează apusul.
piele,isim,"skin, leather","cilt, deri",Are o piele sensibilă.
piept,isim,"chest, breast",göğüs,Are o durere în piept.
pieptăna (se),fiil,"comb, brush","taramak, taranmak",O pieptăn pe fiica mea.
pieptene,isim,comb,taramak,Pieptenele are dinții rari.
pierde (-și),fiil,"lose, miss, waste","kaçırmak, kaybolmak, kaybetmek",Marcel a pierdut trenul.
piersică,isim,peach,şeftali,Am făcut compot de piersici.
pieton,isim,pedestrian,yayan,S-a oprit la trecerea de pietoni.
pijama,isim,pajamas,pijama,Pijamalele sunt pe pat.
pilot,isim,pilot,pilot,Pilotul anunță aterizarea.
pilota,fiil,fly,pilotluk yapmak,El pilotează avioane militare.
pilotă,isim,duvet,yorgan,Am spălat pilota aceasta.
piper,isim,pepper,karabiber,A pus piper la mâncare.
piscină,isim,swimming pool,havuz,Piscina este închisă azi.
pisică,isim,cat,kedi,Pisica este pe fotoliu.
pix,isim,pen,tükenmez,Scrie cu pixul.
plajă,isim,beach,plaj,Pe plajă sunt mulți copii.
plan,isim,plan,plan,Are multe planuri de vacanță.
planetă,isim,planet,gezegen,Sistemul solar are multe planete.
plantă,isim,plant,bitki,Udăm plantele în fiecare zi.
plastic,isim,plastic,plastik,Plasticul poluează mările și oceanele.
plat(ă),sıfat,flat,"düz, dümdüz",Sportivul are un abdomen plat.
plată,isim,payment,ödeme,Plata se face prin bancă.
platou,isim,platter,servis tabağı,Platoul cu fructe de mare costă mult.
plăcea (-i),fiil,"like, enjoy","beğenmek, sevmek",Îmi place înghețata.
plăcintă,isim,pie,börek,Facem o plăcintă cu brânză.
plăcut(ă),sıfat,pleasant,hoş,La curs este o atmosferă plăcută.
plămân,isim,lung,akçiğer,A făcut o radiografie la plămâni.
plăti,fiil,pay,ödemek,Am plătit amenda.
plânge,fiil,cry,ağlamak,A plâns când a plecat de acasă.
pleca,fiil,leave,gitmek,Mâine plecăm în luna de miere.
plecare,isim,departure,gidiş,A așteptat plecarea trenului.
pleoapă,isim,eyelid,göz kapağı,S-a dat cu fard pe pleoape.
plic,isim,envelope,zarf,A pus scrisoarea în plic.
plictisi (se),fiil,"bore, get bored",sıkılmak,Emisiunea aceasta m-a plictisit.
plictisit(ă),sıfat,bored,sıkılmış,Studenții sunt plictisiți după 5 ore de curs.
plimba (se),fiil,walk,"gezdirmek, gezmek",Maria plimbă câinele în parc.
plimbare,isim,"walk, stroll",gezi,Facem o plimbare scurtă după ce mâncăm.
plin(ă),sıfat,full,dolu,Farfuria este plină cu prăjituri.
ploaie,isim,"rain, shower",yağmur,Ploaia de vară este scurtă.
ploua,fiil,rain,yağmur yağmak,La munte plouă frecvent.
poartă,isim,gate,kapı,Poarta este deschisă.
pod,isim,"bridge, attic","köprü, çatı katı",Podul de piatră a fost distrus de apă.
podea,isim,floor,zemin,A împrăștiat lucrurile pe podea.
poftă,isim,"craving, wish","iştah, istek",Mi-e poftă de ciocolată.
poftim,ünlem,"here you are, excuse me","buyur, efendim",Poftim restul!
poimâine,zarf,the day after tomorrow,yarından sonraki gün,Poimâine nu lucrăm.
polei,isim,black ice,cam/gizli buz,Poleiul este periculos pentru circulație.
"politicos, politicoasă",sıfat,polite,kibar,Un domn politicos mi-a deschis ușa.
poliție,isim,police,polis,A declarat furtul la poliție.
pom,isim,fruit tree,ağaç,A cules fructele din pom.
pompier,isim,firefighter,itfaiyeci,Pompierii au acționat rapid.
popor,isim,"people, nation",millet,Nu cunosc toate popoarele lumii.
popular(ă),sıfat,"popular, folk","popüler, halk",Este o persoană populară în rândul tinerilor.
populație,isim,population,nüfus,Populația țării este numeroasă.
porc,isim,pig,domuz,Costel crește porci.
porni,fiil,start,hareket etmek,Trenul pornește din gară la ora 8:00.
port,isim,"port, harbour",liman,Sunt multe vapoare în port.
portocală,isim,orange,portakal,Beau un suc de portocale cu gheață.
"portocaliu, portocalie",sıfat,orange,portakal rengi,Tricourile portocalii sunt la spălat.
portofel,isim,wallet,cüzdan,Banii sunt în portofel.
porție,isim,portion,porsiyon,A comandat două porții de spaghete.
posibil(ă),sıfat/zarf,possible,"olası, olabilir, mümkün",Întrebarea are mai multe răspunsuri posibile.
poștă,isim,post office,postane,A dus pachetele la poștă.
potrivi (se),fiil,"match, go with, suit, adjust","uyumak, dengelemek",Poșeta se potrivește la pantofii verzi.
potrivit(ă),sıfat,suitable,uygun,Alegem exemplele potrivite pentru eseu.
povesti,fiil,"tell, recount",anlatmak,Mihaela povestește aventurile din tabără.
poză,isim,photo,"resim, fotogaf",A făcut multe poze în concediu.
praf,isim,"dust, powder",toz,Pantofii sunt plini de praf.
prăji,fiil,fry,kavurmak/kızartmak,Bucătarul prăjește ceapa în ulei.
prăjitură,isim,cake,pasta,Îi plac prăjiturile cu fructe de pădure.
prânz,isim,lunch,öğle yemeği,"Azi iau prânzul în oraș, cu prietenii."
prea,zarf,too,"çok, fazla",Este prea târziu pentru o cafea.
precis(ă),sıfat/zarf,"precise(ly), exact(ly)","tam, kesin",La examen a oferit răspunsuri precise.
preda,fiil,"teach, deliver","anlatmak, teslim etmek",Profesoara predă pronumele.
prefera,fiil,prefer,tercih etmek,Simona preferă fructele de mare.
pregăti (se),fiil,"prepare, get ready","hazırlamak, hazırlanmak",Elena pregătește cina.
premiu,isim,prize,ödül,Până acum nu a luat niciun premiu.
prenume,isim,first name,ad,A notat prenumele pe caiet.
prepara,fiil,prepare,hazırlamak,Barmanul prepară băuturi fără alcool.
președinte,isim,president,başkan,Acum am ales un alt președinte.
pretutindeni,zarf,everywhere,her yer,A călătorit pretutindeni.
preț,isim,price,fiyat,În acest magazin prețurile sunt mari.
priceput(ă),sıfat,"skilful, capable","yatkın, becerikli",Mihai este priceput la orice.
prieten,isim,friend,arkadaş,Prietenii mei sunt veseli.
prietenie,isim,friendship,arkdaşlık,Prietenia ta mă onorează.
primăvară,isim,spring,ilkbahar,Primăvara este anotimpul meu preferat.
primi,fiil,"get, receive",almak,El a primit un mail important.
"primul, prima",sayı,first,"ilk, birinci",Ajunge mereu primul la școală.
prin,edat,through,-da/-de/-dan-den,Se plimbă prin oraș.
principal(ă),sıfat,"main, principal","ana, baş",Am primit rolul principal în această piesă.
prinde,fiil,catch,tutmak,Alina prinde fluturi.
printre,edat,among,arasında,Gazda se plimbă printre invitați.
privi,fiil,watch,bakmak,De la fereastra hotelului privește marea.
privire,isim,"look, glance, gaze",bakış,Privirea ta mă sperie.
priză,isim,"electric socket, outlet",priz,Prizele au protecție.
"proaspăt, proaspătă",sıfat,fresh,taze,Am cumpărat pește proaspăt.
proba,fiil,try on,denemek,Paula probează o rochie de mireasă.
probabil(ă),sıfat/zarf,"likely, probably","tahmin, olası, muhtemel","La meteo, au anunțat timpul probabil."
problemă,isim,problem,"iş, problem",Are multe probleme de rezolvat.
produce,fiil,produce,ortaya çıkarmak,Vaccinul poate produce efecte secundare.
produs,isim,"product, supply",ürün,A făcut o listă cu produsele necesare pentru casă.
profesie,isim,profession,meslek,Profesia lui este solicitantă.
profesor,isim,"teacher, professor",öğretmen,Bogdan este profesor de engleză.
program,isim,"timetable, schedule",program,În programul TV am găsit un film interesant.
programa,fiil,schedule,programlamak,Maria a programat pisica la veterinar.
programare,isim,appointment,randevu almak,Nu a făcut programare la cosmetică.
proiect,isim,project,proje,Lucrează într-un proiect internațional.
promite,fiil,promise,söz vermek,Mama promite copilului o excursie la Disney Land.
propune,fiil,suggest,önermek,Laura propune o pauză de 10 minute.
propunere,isim,suggestion,öneri,Nu au făcut nicio propunere la sedință.
prosop,isim,towel,havlu,Prosopul de plajă este ud.
"prost, proastă",sıfat,stupid,"aptal, kötü",Am primit niște vești proaste.
proveni,fiil,come from,-dan/-den,Cătălin provine din Republica Moldova.
provoca,fiil,"cause, challenge",yol açmak,Incendiile au provocat pagube mari.
provocare,isim,challenge,zorluk,Concursul a avut multe provocări pentru noi.
prună,isim,plum,erik,Compotul de prune este în cămară.
public,isim,public,izleyiciler,Publicul a aplaudat cântăreții.
pui,isim,chicken,civciv,A făcut o supă de pui cu tăiței.
pulover,isim,pullover,kazak,Puloverul este foarte gros.
pumn,isim,fist,"yumruk, avuç",A strâns în pumn o furnică.
punct,isim,"full stop, point, dot","puan, bakış açıs, nokta",A adunat multe puncte la concurs.
punctual(ă),sıfat,"on time, punctual",dakik,Profesorii sunt punctuali.
pungă,isim,bag,poşet,A cerut o pungă pentru cumpărături.
pune,fiil,"put, place, ask","koymak, sormak",Diana a pus cumpărăturile în coș.
pupa,fiil,kiss,öpmek,Mama pupă copilul la culcare.
purta (se),fiil,"wear, act, behave","takmak, davranmak",Florentina poartă cercei.
putea,fiil,be able,-a/-e bilmek,Cosmin poate învăța ușor limbi străine.
putere,isim,"power, strength","güç,irade",Claudia are o mare putere de a învăța.
puternic(ă),sıfat/zarf,strong(ly),güçlü,Bărbatul puternic a mutat mobila.
radio,isim,radio,radyo,Aparatul de radio este stricat.
raft,isim,shelf,raf,Pe raft sunt multe sticle.
ramă,isim,frame,çerçeve,A pus fotografiile în ramă.
rană,isim,wound,yara,Rana de la picior s-a infectat.
rapid(ă),sıfat/zarf,"fast, quick(ly)","hızlı, çabuk",Trenul rapid circulă fără oprire până la București.
rar(ă),sıfat/zarf,"rare(ly), seldom","nadide, seyrek","Am văzut câteva piese rare, la muzeu."
rareori,zarf,"rarely, seldom",ara sıra,Rareori mergem la pescuit.
rață,isim,duck,ördek,Rațele sunt gălăgioase.
răci,fiil,"cool, chill, catch a cold","üşütmek, soğutmak, soğumak",Florin a răcit la ski.
răcit(ă),sıfat,"chilled, ill with cold","soğumuş, üşütmüş",Ceaiul răcit nu este bun.
răcoare,isim,"chill, coolness",serin,Afară este deja răcoare.
răbdare,isim,patience,sabır,Nu mai avem răbdare să terminăm cartea.
rămâne,fiil,"stay, remain",kalmak,Petre rămâne acasă cu Maria.
răsări,fiil,rise,doğmak,Soarele răsare din mare.
răsărit,isim,sunrise,doğuş,Admiram răsăritul împreună.
răspunde,fiil,answer,cevap vermek,Elevii răspund la lecție.
răspuns,isim,answer,cevap,Nu am avut un răspuns corect la întrebarea ei.
"rău, rea",sıfat,bad,kötü,Daria are un câine rău.
râde,fiil,laugh,gülmek,Nimeni nu râde de ei.
rând,isim,"line, row, turn","sıra, sırayla",La teatru stau în primul rând.
râu,isim,river,ırmak,A făcut o baie în râu.
real(ă),sıfat,real,gerçek,Această poveste nu este reală.
realitate,isim,"reality, truth",gerçek,Nu trebuie să deformezi realitatea.
realiza,fiil,"achieve, make, realize","gerçekleştirmek, kavramak",Regizorul a realizat un film bun.
recapitula,fiil,revise,tekrarlamak,Trebuie să recapitulăm lecția.
rece,sıfat,cold,soğuk,Apa este foarte rece.
reclamă,isim,advertisement,reklam,Am vazut multe reclame la medicamente.
recoltă,isim,"crop, harvest",hasat,Recoltele sunt bogate în această toamnă.
recomanda,fiil,recommend,tavsiye etmek,Eu vă recomand să vă odihniți.
recunoaște,fiil,"recognize, acknowledge",itiraf etmek,Infractorul nu a recunoscut fapta.
reduce,fiil,"lower, reduce, cut down",azaltmak,Trebuie să reduci viteza pe drumurile aglomerate.
reducere,isim,discount,indirim,În acest centru comercial sunt multe reduceri.
reface,fiil,redo,"yenilemek, tamir etmek",Muncitorii refac drumul după inundații.
refuza,fiil,"refuse, decline",reddetmek,Lavinia a refuzat invitația la film.
regim,isim,"diet, regime","diyet, rejim",Gabriela ține regim.
regiune,isim,region,bölge,În regiunea Dobrogea poți vizita Delta Dunării.
regret,isim,regret,pişmanlık,Nu are niciun regret că a rămas la Paris.
regulă,isim,rule,kural,Regulile de circulație trebuie respectate.
relație,isim,relationship,ilişki,"Traian este într-o relație cu Nicoleta, de mult timp."
relaxa (se),fiil,relax,rahatlamak,Merg în concediu să mă relaxez.
relaxare,isim,relaxation,"rahatlama, dinleme",Mă bucur de 2 ore de relaxare.
relief,isim,"relief, landscape",rölyef,România are un relief variat.
relua,fiil,"resume, revise, rerun",tekrarlamak,Pentru examen trebuie să reluăm toată gramatica.
renunța,fiil,"give up, quit",vazgeçmek,De mâine renunț la țigări.
repara,fiil,"fix, repair",tamir etmek,Tata repară ușa.
repede,zarf,"fast, quick(ly)",çabuk,Elevul scrie repede.
repeta,fiil,"repeat, revise, rehearse",tekrarlamak,Repetăm cântecul pentru serbare.
repetiție,isim,rehearsal,prova,În fiecare zi facem repetiții pentru spectacol.
respect,isim,respect,saygı,Respectul său mă impresionează mereu.
respecta,fiil,"respect, follow, obey",saygı duymak/göstermek,Îmi respect părinții.
respira,fiil,breathe,nefes almak,La munte respirăm aer curat.
respirație,isim,breath,"nefes, solunum",La efort crește numărul de respirații pe minut.
rest,isim,"remains, leftovers, change","artık, üst",Aruncăm resturile de mâncare la gunoi.
restaurant,isim,restaurant,restoran,Azi mănânc la restaurant.
rețetă,isim,"recipe, prescription","tarif, reçete",Fac o prăjitură după o rețetă nouă.
reține,fiil,"remember, retain, keep",tutmak,Am reținut toate informațiile.
reuși,fiil,succeed,başarımak,Nu reușesc s-o găsesc pe Mihaela.
revedea,fiil,see again,tekrar görmek,Revedem cu plăcere locurile dragi.
revelion,isim,New Year’s Eve,yıl başı,Petrecem revelionul cu familia.
reveni,fiil,return,tekrar germek,Revenim cu drag în România.
revistă,isim,magazine,dergi,Citesc multe reviste.
rezerva,fiil,"book, reserve","rezervasyon yapmak, ayırmak",Rezervăm o masă la restaurant pentru diseară.
rezolva,fiil,solve,çözmek,Rezolv multe probleme la matematică.
rezolvare,isim,solution,çözüm,Am găsit rezolvarea problemei.
rezultat,isim,result,"sonuç, netice",Are rezultate bune la examenele finale.
ridica (se),fiil,"lift, raise, rise","kaldırmak, kalkmak","Când nu înțeleg, ridic mâna și întreb."
ridiche,isim,radish,turp,Am luat din piață o legătură de ridichi roșii.
riglă,isim,ruler,cedvel,A trasat liniile cu rigla.
rinichi,isim,kidney,böbrek,Pentru a avea rinichi sănătoși trebuie să bem multă apă.
rochie,isim,dress,elbise,Rochia nouă a fost scumpă.
rodie,isim,pomegranate,nar,Am pus rodii în salata de fructe.
roșie,isim,tomato,domates,Mama face suc de roșii.
"roșu, roșie",sıfat,red,kırmızı,Mașina roșie este a fratelui meu.
rotund(ă),sıfat,round,yuvarlak,Platoul rotund este pentru prăjituri.
roz,sıfat,pink,pembe,Bluza roz este nouă.
rucsac,isim,"backpack, rucksack",sırt çantası,La munte mergem cu rucsacul în spate.
rudă,isim,relative,akraba,Am multe rude la Brașov.
rufă,isim,laundry,çamaşır,Azi spăl rufe.
ruga (se),fiil,"ask, beg, pray","rica etmek, dua etmek",O rog pe Maria să-mi dea un pix.
rupe,fiil,"tear, break","kaparmak, kırmak",Am rupt niște flori din grădină.
rușine,isim,shame,"utanç, utanmak",Mi-e rușine de părinți.
sac,isim,sack,"çuval, torba",Sacul lui Moș Crăciun este plin cu jucării.
sacoșă,isim,shopping bag,poşet,Vin cu sacoșele încărcate de la piață.
sacou,isim,jacket,ceket,Florin are un sacou negru.
salam,isim,salami,salam,Dimineața mănânc o felie de salam.
salată,isim,"salad, lettuce",salata,Îmi place salata asortată.
sală,isim,"(class)room, hall","salon, derslik",Sala de curs este la parter.
saltea,isim,mattress,döşek,Am cumpărat o saltea moale.
salut,isim,"hi, hello, greeting",selam,"Hai, salut!"
saluta,fiil,greet,selam vermek,Când intru în clasă îi salut pe colegi.
salva,fiil,save,kurtarmak,Am salvat un câine de la înec.
sandală,isim,sandal,sandalet,Sandalele acestea sunt ieftine.
sandviș,isim,sandwich,sandviç,Mănânc un sandviș cu pui.
sare,isim,salt,tuz,Nu consumați multă sare!
sarma,isim,"dolma, cabbage rolls","sarma, dolma",Îmi plac sarmalele cu orez.
sat,isim,village,köy,Maria locuiește la sat.
satisfăcut(ă),sıfat,satisfied,mutlu,Am fost satisfăcuți de condițiile de la hotel.
sau,bağlaç,or,yoksa,Vrei mere sau pere?
sănătate,isim,health,sağlık,Sănătatea este foarte importantă.
"sănătos, sănătoasă",sıfat,healthy,"sağlıklı, sağlam",Copilul este sănătos.
săptămână,isim,week,hafta,În fiecare săptămână merg la teatru.
săpun,isim,soap,sabun,Îmi place săpunul de lavandă.
sărat(ă),sıfat/zarf,salty,tuzlu,Am cumpărat o bucată de brânză sărată.
sări,fiil,"jump, leap",zıplamak,Pisica sare de pe pat pe scaun.
săruta,fiil,kiss,öpmek,O sărut pe mama la plecare.
"său, sa (al, a)",zamir,his / her,onun,Câinele său este periculos.
sâmbătă,isim,Saturday,cumartesi,În fiecare sâmbătă plecăm din oraș.
sânge,isim,blood,kan,A făcut niște analize de sânge.
scară,isim,"stair(case), ladder",merdiven,Urc la etaj pe scări.
scaun,isim,chair,sandalye,În jurul mesei sunt șase scaune.
scădea,fiil,"go down, drop, decrease",azalmak,Prețurile au scăzut.
scăpa,fiil,"drop, escape, get rid of","elden kaçırmak, kurtulmak",Am scăpat cana din mână.
scenă,isim,"stage, scene",sahne,Artiștii au ieșit pe scenă.
schelet,isim,skeleton,iskelet,La muzeu am văzut scheletul unui dinozaur.
schi,isim,skiing,"kayak,ski",Iarna mergem la schi.
schia,fiil,ski,kayak yapmak,Victor schiază foarte bine.
schimb,isim,(ex)change,"değiştirme, döviz",Merg la casa de schimb valutar.
schimba (se),fiil,(ex)change,"bozmak, değişmek",Turistul schimbă 100 de euro.
scoate,fiil,take out,çıkarmak,Scot bani de la ATM.
scobitoare,isim,toothpick,kürdan,Găsești scobitori pe masă.
scrie,fiil,write,yazmak,Fata scrie frumos.
scrisoare,isim,letter,mektup,Le scriu o scrisoare pe an.
scula (se),fiil,"wake, raise",kalkmak,Mama scoală copilul devreme.
scump(ă),sıfat,expensive,pahalı,Apartamentele în Constanța sunt foarte scumpe.
scund(ă),sıfat,"short, squat",kısa boylu,Băiatul acesta este scund.
scurt(ă),sıfat,short,kısa,Fata poartă fuste scurte.
scuza (se),fiil,excuse,özür dilemek,"Scuză-mă pentru întârziere, te rog!"
seară,isim,evening,akşam,Am petrecut niște seri minunate.
secol,isim,century,"yüzyıl, asır",Un secol are 100 de ani.
secret,isim,secret,"sır, gizem",Știu să păstrez un secret.
secretară,isim,secretary,sekreter,Secretara este o doamnă amabilă.
secundă,isim,second,saniye,Vin într-o secundă.
semafor,isim,traffic lights,trafik lambası,În oraș sunt multe semafoare.
semăna,fiil,look like,benzemek,Eu semăn cu tata.
semestru,isim,semester,dönem,Un an universitar are două semestre.
semn,isim,sign,işaret,Ne face semn cu mâna.
semna,fiil,sign,imzalamak,Semnez niște documente importante.
semnal,isim,signal,sinyal,Ambulanța trece cu semnalele pornite.
semnătură,isim,signature,imza,Are o semnătură complicată.
senin(ă),sıfat,cloudless,bulutsuz,Este o zi senină de vară.
sensibil(ă),sıfat,sensitive,duyarlı,Ea este o persoană sensibilă.
sentiment,isim,feeling,duygu,Trăiește adevărate sentimente de dragoste.
separa (se),fiil,"separate, split","ayırmak, ayrılmak",Am separat fructele de legume.
septembrie,isim,September,eylül,În septembrie copiii încep școala.
seringă,isim,syringe,şırınga,Pentru injecție folosesc o seringă de 5 ml.
"serios, serioasă",sıfat,serious,ciddi,Ei nu sunt serioși deloc.
sertar,isim,drawer,çekmece,Am o comodă cu multe sertare.
servi,fiil,serve,servis etmek,Chelnerul servește friptura.
